Form name,Field,Value source,Value(s)
Co-applicant form,Prefix,"KYC ",Mr/Miss/Mrs
Co-applicant form,First Name,KYC,
Co-applicant form,Middle Name,KYC,
Co-applicant form,Last Name,KYC,
Co-applicant form,Father/Spouse/Mother’s name,KYC,
Co-applicant form,Gender,KYC,Male/Female
Co-applicant form,Marital Status,KYC,Married/Unmarried
Co-applicant form,Qualification,Additional KYC details,Graduate/Diploma/upto 12/Post Graduate/MBA/Phd/Professional/Others
Co-applicant form,PAN,KYC,
Co-applicant form,Last 4 digits of aadhaar number (VID),KYC,
Co-applicant form,Confirmation Indian resident,,Checkbox
Co-applicant form,Date of birth,KYC,DD/MM/YYYY
Addendum,Additional security providor name,KYC,
Mandate,Date of mandate set up,DB,DD/MM/YYYY
Mandate,Bank account number,Penny drop verified,Penny drop
Mandate,IFSC code,Penny drop verified,Penny drop
Mandate,Mandate amount,DB,As per logic
Mandate,LAN,DB,Bajaj VLAN
Mandate,From,DB,Mandate creation date
Mandate,To,DB,Mandate expiry date
Mandate,Name as per bank account,Penny drop verified,Name as per bank account
