BankCode,Bank Name,Branch,MICR,IFSC,Address,Location,NetWorth,DefaultBank,,,,,
8795, BANK OF BARODA,GIDC PHASE 3 DARED,361012007,BARB0INDDAR,"INDUSTRIAL AREA,PHASE 3,RK COMMERCIAL COMPLEX,LOT 4041,NEAR RAJHANS ALLOY CIRCLE,GIDC PHASE 3,DARED PHASE-3 361012",GUJARAT,0,0,,,,,
5822, KARUR VYSYA BANK,VIJAYAWADA BUNDER ROAD,520053002,KVBL0001441,"38-8-46 M.G.ROAD,LABBIPET,VIJAYAWADA   520010", ANDHRA PRADESH,0,0,,,,,
681, KOTAK MAHINDRA  BANK ,"JANAKPURI ,NEW DELHI ",110485123,KKBK0004623,"B-3/63,GROUND FLOOR JANAKPURI  NEW DELHI 110058 DELHI  INDIA  110058",NEW DELHI ,1E+15,0,,,,,
683, THE KALUPUR COMMERCIAL CO-OPERATIVE BANK,ST. XAVIERS ,380126006,KCCB0SXS008,AKSHAR ARCADE OPP  MEMNAGAR FIRE STATION  NAVRANGPURA  380009,AHMEDABAD ,1E+15,0,,,,,
9694, THE KALUPUR COMMERCIAL CO. OP. BANK LTD.,DRIVE-IN ROAD,380126014,KCCB0DRV017,"KAMDHENU BHAVAN, OPP: T.V. TOWER, DRIVE-IN ROAD  380054",GUJARAT,0,0,,,,,
2114,ABC,PATAN,111111111,IDFB1111111,PATAN BRANCH GROUND FLOOR DEVI ESTATE DEEDA PATAN AHMEDABAD  382465,AHMEDABAD ,0,0,,,,,
2666,ABC,ABCD,123456722,ICIC2222222,askdkd ddddd ssss   433222,CHENNAI,0,0,,,,,
3045,ABC,EFG,222222222,AUBL2222222,ABCD   222222,ABCD,0,0,,,,,
5490,ADC AHMEDABAD DIST CO OP BANK,THALTEJ AHMEDABAD,380118048,GSCB0ADC001,THALTEJ AHMEDABAD   380054,AHMEDABAD,0,0,,,,,
7826,AHMEDNAGAR MERCHANT'S CO-OP BANK LIMITED,AURANGABAD,431776002,AMDN0000108,"PLOT NO 30, FRIENDS COLONY STATION ROAD  431001",AURANGABAD,0,0,,,,,
3394,Airtel Payments Bank,AIRTEL PAYMENTS BRANCH,000APB000,AIRP0000001,AIRTEL PAYMENTS BRANCH   999999,,,0,,,,,
661,ALLAHABAD BANK,CHITTRANJAN AVENUE,700010006,ALLA0210030,"KOLKATA DHARAMLOLLA STREET BRANCH 5, CHITTRANJAN AVENUE, KOLKATA 700072",KOLKATA,1E+15,0,,,,,
577,ALLAHABAD BANK,BARODA BRANCH,390010002,ALLA0210350,BARODA BRANCH GIRIDHAR CHAMBERS RAJMAHAL ROAD OPPOSITE HATHI POLE  VADODARA  390001,VADODARA,1E+15,0,,,,,
197,ALLAHABAD BANK,KOLKATA RITCHIE,700010101,ALLA0211753,KOLKATA RITCHIE   700019,KOLKATA,1E+15,0,,,,,
259,ALLAHABAD BANK,ANSARI ROAD,110010008,ALLA0210411,4222 1 ANSARI ROAD  DARYAGANJ  NEW DELHI 110002,NEW DELHI,1E+15,0,,,,,
116,ANDHRA BANK,GHATKOPAR,400011011,ANDB0000238,238 GHATKOPRA  MUMBAI 400086,MUMBAI,1E+15,0,,,,,
460,ANDHRA BANK,DOMBIVALI MUMBAI,400011012,ANDB0000791,ANANDEEP BLDG NO 2 NEAR NEHARU MAIDAN MUMBAI  421201,MUMBAI,1E+15,0,,,,,
603,ANDHRA BANK,JYOTI NAGAR HYDERABAD,500011058,ANDB0000455,ANDHRA PRADESH   500032,HYDERABAD,1E+15,0,,,,,
679,ANDHRA BANK,MATUNGA MUMBAI,400011007,ANDB0000364,WOODLAND NOOK  BHAUDAJI ROAD  MATUNGA 400019,MUMBAI,1E+15,0,,,,,
2339,ANDHRA BANK,ANNAPOORNESWARINAGAR,560011056,ANDB0002131,ANNAPOORNESWARINAGAR   999999,,,0,,,,,
2113,ANDHRA PRADESH MAHESH CO-OPERATIVE URBAN BANK LTD,MONDA MARKES,500142013,APMC0000013,MONDA MARKES BR 7-1 1ST FLOOR OPP OLD JAIL MARKET STREET SECUNDERABAD 500003,SECUNDERABAD,0,0,,,,,
2161,AU SMALL FINANCE BANK,PATAN RAILWAY STATION,384765081,AUBL0002144,CITY SURVEY NO. 1639 SHEET NO 131 SANTOKBA HALL OF GUNAGADIPARTI NEAR PATAN RAILWAY STATION  PATAN 384265,GUJARAT,0,0,,,,,
2085,AU SMALL FINANCE BANK,THALTEJ-SHILAJ ROAD,380765008,AUBL0002535,"GROUND FLOOR 7&8, TIMES SQUARE ARCADE, OPPOSITE RAMBAUG THALTEJ-SHILAJ ROAD, THALTEJ 380059",AHMEDABAD ,0,0,,,,,
1418,AU SMALL FINANCE BANK,RAJKOT,365765001,AUBL0002126,RAJKOT   999999,,,0,,,,,
1472,AU SMALL FINANCE BANK,BAPU NAGAR JAIPUR,302765004,AUBL0002209,"B 22-23,BADJATYA COMPLEX JANTA STORE CENTRAL MARKET BAPU NAGAR  302015",JAIPUR,0,0,,,,,
617,AU SMALL FINANCE BANK ,MADHYA PRADESH,464765051,AUBL0002302,"BHARAT MATA CONVT,SCHOOL BARETH ROAD MADHYA PRADESH   464221",MADHYA PRADESH ,1E+15,0,,,,,
992,AU SMALL FINANCE BANK,JODHPUR NAI SARAK,342765002,AUBL0002257,JODHPUR NAI SARAK SATRA PLAAZA  342001,MUMBAI,0,0,,,,,
1001,AU SMALL FINANCE BANK,"GANDHINAGAR, GUJARAT",380765004,AUBL0002146,"PLOT NO. 171.SHOP NO. 1-5, 101-102 SHUBHA COMPLEX, SECTOR 21 OPP.SABARMATI GAS LTD 382021",,0,0,,,,,
1016,AU SMALL FINANCE BANK,GANDHIDHAM,370765001,AUBL0002121,SAI COMPLEX   370201,MUMBAI,0,0,,,,,
1145,AU SMALL FINANCE BANK,AHMEDABAD,380765001,AUBL0002152,SHIVRANJANI  GROUND FLOOR SHEETAL VASHA  380015,AHMEDABAD,0,0,,,,,
3422,AU Small Finance Bank,Bhankrota,302765010,AUBL0002204,Bhankrota   999999,,,0,,,,,
3460,AU SMALL FINANCE BANK,VESU SURAT,395765001,AUBL0002133,SNS PLATINA OPP RELIANCE HYPER MARKET SURAT 395007,,0,0,,,,,
3486,AU SMALL FINANCE BANK,HATHROL JAIPUR,302765006,AUBL0002404,PLOT NO C-6 HARIKISHAN  SOMANI MARG HATHROI AJMER ROAD  302001,JAIPUR,0,0,,,,,
3263,AU Small Finance Bank,AB Road Indore,452765001,AUBL0002313,AB Road Indore   999999,,,0,,,,,
3333,AU Small Finance Bank,Borivali Mumbai,400765007,AUBL0002341,Borivali Mumbai   999999,,,0,,,,,
3337,AU Small Finance Bank,Ahmednagar,414765002,AUBL0002356,Ahmednagar   999999,,,0,,,,,
3172,AU Small Finance Bank,Shamgarh,458765501,AUBL0002324,Shamgarh   999999,,,0,,,,,
2620,AU SMALL FINANCE BANK,BHAVNAGAR,364765001,AUBL0002156,"BHAVNAGAR PLOT 8B,SHOP NO 1 & 2 DAXINAMURTI SCHOOL GUJARAT 364002",GUJARAT,0,0,,,,,
3589,AU SMALL FINANCE BANK,Vaishali Nagar,302765005,AUBL0002206,Vaishali Nagar   999999,,,0,,,,,
3863,AU Small Finance Bank,LASHKAR DAL BAZAR,474765001,AUBL0002516,LASHKAR DAL BAZAR   999999,,,0,,,,,
3921,AU SMALL FINANCE BANK,Dhule Ganesh Plaza,424765001,AUBL0002358,Dhule Ganesh Plaza   999999,,,0,,,,,
3985,AU Small Finance Bank,Faizabad,123765053,AUBL0002416,Faizabad   999999,,,0,,,,,
4005,AU Small Finance Bank,HSR LAYOUT BRANCH,560765004,AUBL0002556,HSR LAYOUT BRANCH   999999,,,0,,,,,
4025,AU Small Finance Bank,Hira Panna Market Bhilwara,311765002,AUBL0002231,Hira Panna Market Bhilwara   999999,,,0,,,,,
4266,AU Small Finance Bank,Chhatarpur,471765001,AUBL0002325,Chhatarpur   999999,,,0,,,,,
4332,AU Small Finance Bank,Ghodewala Circle Kota,324765002,AUBL0002250,Ghodewala Circle Kota   999999,,,0,,,,,
4435,AU Small Finance Bank,BHUBANESWAR,751765002,AUBL0002496,BHUBANESWAR   999999,,,0,,,,,
4486,AU Small Finance Bank,SAKET,110765042,AUBL0002598,SAKET   999999,,,0,,,,,
4523,AU Small Finance Bank,KIRTI NAGAR,110765033,AUBL0002547,KIRTI NAGAR   999999,,,0,,,,,
4602,AU Small Finance Bank,VIKASPURI,110765036,AUBL0002567,VIKASPURI   999999,,,0,,,,,
4638,AU Small Finance Bank,Morbi,363765021,AUBL0002125,Morbi   999999,,,0,,,,,
7828,AU Small Finance Bank,Pali,306765002,AUBL0002277,Pali   999999,,,0,,,,,
7792,AU Small Finance Bank,GHATKOPAR EAST,400765015,AUBL0002533,GHATKOPAR EAST   999999,,,0,,,,,
7815,AU SMALL FINANCE BANK,MISTRY MANSION ,400765019,AUBL0002589,MUMBAI FORT  105 MG ROAD MISTRY MANSION   400023,FORT MUMBAI,0,0,,,,,
8150,AU Small Finance Bank,Malviya nagar Jaipur,302765011,AUBL0002208,Malviya nagar Jaipur   999999,,,0,,,,,
7051,AU Small Finance Bank,Dhamtari,493765001,AUBL0002335,Dhamtari   999999,,,0,,,,,
7185,AU Small Finance Bank,RAJARAJESHWARI NAGA.,560765006,AUBL0002639,RAJARAJESHWARI NAGA.   999999,,,0,,,,,
7266,AU SMALL FINANCE BANK,MANSAROVAR MADHYAM MARG,302765003,AUBL0002214,MANSAROVAR MADHYAM MARG   999999,,,0,,,,,
7277,AU Small Finance Bank,RAMDASPETHNAGPUR,440765003,AUBL0002520,RAMDASPETHNAGPUR   999999,,,0,,,,,
7416,AU Small Finance Bank,Karnal,132765102,AUBL0002113,Karnal   999999,,,0,,,,,
7600,AU Small Finance Bank,Vasai,400765008,AUBL0002343,Vasai   999999,,,0,,,,,
8832,AU Small Finance Bank,Nagpur,440765002,AUBL0002369,Nagpur   999999,,,0,,,,,
8934,AU Small Finance Bank,Jhunjhunu,333765002,AUBL0002184,Jhunjhunu   999999,,,0,,,,,
